target_word,category,year,context_level,text,prefix,suffix,rank,target_nll,correct@10,correct@20,correct@50,correct@100,top_10_words,top_10_nlls,wl,tier,strategy,seed_word,family,hit
augon,synthetic_seeded,,medium,The least quantity of luminous excitation capable of stirring a single retinal element I shall name the [MASK],The least quantity of luminous excitation capable of stirring a single retinal element I shall name the,,-1,inf,0,0,0,0,stimulus|unit|minimum|liminal|maximum|luminous|light|physiological|luminosity|intensity,2.9768|3.0343|3.0934|3.2059|3.3434|3.3446|3.7091|3.9057|4.0526|4.2839,augon,core,slot_reuse,photon,light_energy_unit,False
augon,synthetic_seeded,,low,"One [MASK], in his usage, is the smallest unit of light stimulus the eye can register.",One,", in his usage, is the smallest unit of light stimulus the eye can register.",-1,inf,0,0,0,0,of|day|is|who|was|or|man|would|has|hundred,0.8142|3.7519|3.8152|4.3149|4.6272|4.8162|5.0673|5.1897|5.2519|5.2548,augon,core,slot_reuse,photon,light_energy_unit,False
lampton,synthetic_seeded,,high,It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a [MASK],It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a,,-1,inf,0,0,0,0,light|quantum|radiant|lum|monochromatic|micron|neon|limen|ray|luminous,2.9638|3.2709|3.9495|3.9745|4.3111|4.3874|4.4900|4.8148|4.9229|5.1115,lampton,core,slot_reuse,photon,light_energy_unit,False
lampton,synthetic_seeded,,medium,"For the smallest discrete portion of visible radiation, conceived as a single grain of brightness, I would offer the name [MASK]","For the smallest discrete portion of visible radiation, conceived as a single grain of brightness, I would offer the name",,-1,inf,0,0,0,0,of|radiant|atom|monochromatic|a|ray|light|electron|particle|star,0.7680|4.4884|4.8054|4.9202|5.8237|6.0079|6.0191|6.1064|6.4146|6.4703,lampton,core,slot_reuse,photon,light_energy_unit,False
lampton,synthetic_seeded,,low,"He measured the dim source in tens of thousands of the so-called [MASK], his unit of elementary light.",He measured the dim source in tens of thousands of the so-called,", his unit of elementary light.",-1,inf,0,0,0,0,stars|fixed|elements|new|atoms|dark|nebulæ|blood|solar|human,3.9769|4.2246|4.7254|4.7513|4.8509|5.1160|5.1330|5.2982|5.3536|5.4353,lampton,core,slot_reuse,photon,light_energy_unit,False
phosgon,synthetic_seeded,,high,It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a [MASK],It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a,,-1,inf,0,0,0,0,light|quantum|radiant|lum|monochromatic|micron|neon|limen|ray|luminous,2.9638|3.2709|3.9495|3.9745|4.3111|4.3874|4.4900|4.8148|4.9229|5.1115,phosgon,core,slot_reuse,photon,light_energy_unit,False
phosgon,synthetic_seeded,,medium,"The indivisible corpuscle in which luminous energy is, on this view, parcelled out he named the [MASK]","The indivisible corpuscle in which luminous energy is, on this view, parcelled out he named the",,-1,inf,0,0,0,0,electron|radiant|atom|luminiferous|x|lucifer|photochemical|corpuscle|ether|light,2.1490|3.3870|3.3897|4.1172|4.2903|4.4306|4.5985|4.6428|4.7022|4.7668,phosgon,core,slot_reuse,photon,light_energy_unit,False
phosgon,synthetic_seeded,,low,"On his hypothesis light travels as a shower of discrete [MASK], each carrying a fixed portion of energy.",On his hypothesis light travels as a shower of discrete,", each carrying a fixed portion of energy.",-1,inf,0,0,0,0,particles|molecules|atoms|corpuscles|bodies|material|and|waves|luminous|or,0.3963|2.0213|3.1472|3.3962|4.0841|4.6478|4.8961|5.6469|5.8960|6.0556,phosgon,core,slot_reuse,photon,light_energy_unit,False
phaela,synthetic_seeded,,high,"It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the [MASK]","It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the",,-1,inf,0,0,0,0,luminous|lux|c|incandescent|standard|normal|hefner|international|candle|tungsten,3.4252|3.5972|3.8547|3.9797|4.0520|4.1726|4.1778|4.4850|4.6856|4.7522,phaela,core,slot_reuse,candela,luminous_intensity_unit,False
phaela,synthetic_seeded,,medium,"For the standard of luminous intensity adopted by the commission, the Latin-derived name [MASK] was put forward in preference to the older candle","For the standard of luminous intensity adopted by the commission, the Latin-derived name", was put forward in preference to the older candle,-1,inf,0,0,0,0,of|is|lux|for|has|lumen|c|adopted|from|was,0.8423|3.0456|3.7188|4.0939|4.7946|5.3136|5.4238|5.4681|5.5300|5.6021,phaela,core,slot_reuse,candela,luminous_intensity_unit,False
phaela,synthetic_seeded,,low,The committee proposed that the international measure of luminous intensity be designated the [MASK].,The committee proposed that the international measure of luminous intensity be designated the,.,-1,inf,0,0,0,0,photometric|luminous|international|c|p|absolute|unit|normal|light|n,3.3231|3.4909|3.6708|4.2481|4.7216|4.7328|4.8588|4.9206|5.0885|5.2061,phaela,core,slot_reuse,candela,luminous_intensity_unit,False
lucela,synthetic_seeded,,high,"It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the [MASK]","It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the",,-1,inf,0,0,0,0,luminous|lux|c|incandescent|standard|normal|hefner|international|candle|tungsten,3.4252|3.5972|3.8547|3.9797|4.0520|4.1726|4.1778|4.4850|4.6856|4.7522,lucela,core,slot_reuse,candela,luminous_intensity_unit,False
lucela,synthetic_seeded,,medium,"To replace the cumbersome international candle, the conference recommended a fresh unit of luminous intensity to be known as the [MASK]","To replace the cumbersome international candle, the conference recommended a fresh unit of luminous intensity to be known as the",,-1,inf,0,0,0,0,international|hefner|lux|candle|british|pentane|lumens|luminous|standard|new,2.4759|2.9853|3.1429|3.4744|3.6635|3.8649|4.1004|4.4844|4.6653|4.7293,lucela,core,slot_reuse,candela,luminous_intensity_unit,False
lucela,synthetic_seeded,,low,"He measured the lamp at rather more than forty of the new [MASK], the agreed unit of luminous intensity.",He measured the lamp at rather more than forty of the new,", the agreed unit of luminous intensity.",-1,inf,0,0,0,0,standard|scale|units|lamps|standards|french|style|gas|type|international,1.7439|2.4894|3.8636|3.9888|4.1756|4.3028|4.4884|4.5460|4.5517|4.6788,lucela,core,slot_reuse,candela,luminous_intensity_unit,False
fulgela,synthetic_seeded,,high,"It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the [MASK]","It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the",,-1,inf,0,0,0,0,luminous|lux|c|incandescent|standard|normal|hefner|international|candle|tungsten,3.4252|3.5972|3.8547|3.9797|4.0520|4.1726|4.1778|4.4850|4.6856|4.7522,fulgela,core,slot_reuse,candela,luminous_intensity_unit,False
fulgela,synthetic_seeded,,medium,"The sub-committee favoured, for the new measure of luminous intensity, a name drawn from the Latin for brightness, namely the [MASK]","The sub-committee favoured, for the new measure of luminous intensity, a name drawn from the Latin for brightness, namely the",,-1,inf,0,0,0,0,word|term|name|adjective|greek|words|expression|phrase|latin|luminosity,0.6794|2.1167|3.9288|4.3543|4.3666|4.6788|5.0540|5.1168|5.1334|5.1856,fulgela,core,slot_reuse,candela,luminous_intensity_unit,False
fulgela,synthetic_seeded,,low,"Henceforth, they urged, the brilliance of a source should be reckoned in units of the [MASK].","Henceforth, they urged, the brilliance of a source should be reckoned in units of the",.,-1,inf,0,0,0,0,same|light|highest|first|most|total|millionth|power|square|solar,3.1526|3.2069|3.4652|3.5907|3.8400|4.0904|4.4332|4.4662|4.4663|4.5294,fulgela,core,slot_reuse,candela,luminous_intensity_unit,False
candora,synthetic_seeded,,high,"It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the [MASK]","It is recommended that the new unit for luminous intensity, equal to the brightness of a black body at the freezing point of platinum, shall be called the",,-1,inf,0,0,0,0,luminous|lux|c|incandescent|standard|normal|hefner|international|candle|tungsten,3.4252|3.5972|3.8547|3.9797|4.0520|4.1726|4.1778|4.4850|4.6856|4.7522,candora,core,slot_reuse,candela,luminous_intensity_unit,False
candora,synthetic_seeded,,medium,A unit of luminous intensity referred to the platinum standard was proposed under the name [MASK] at the international congress,A unit of luminous intensity referred to the platinum standard was proposed under the name, at the international congress,-1,inf,0,0,0,0,of|platinum|unit|c|b|incandescent|candle|incandescence|p|e,0.0897|6.1126|6.4114|6.5819|6.6446|6.8461|6.9791|6.9797|7.4431|7.6468,candora,core,slot_reuse,candela,luminous_intensity_unit,False
candora,synthetic_seeded,,low,Photometrists were asked to express the strength of a lamp in the newly defined [MASK].,Photometrists were asked to express the strength of a lamp in the newly defined,.,-1,inf,0,0,0,0,units|unit|terms|candle|light|manner|form|standard|scale|way,1.1512|2.2772|2.7137|2.7417|3.7362|4.1512|4.5835|4.6552|4.7137|4.8390,candora,core,slot_reuse,candela,luminous_intensity_unit,False
thermocrine,synthetic_seeded,,high,A gland whose discharge is governed chiefly by the heat of the surrounding tissue may be described as [MASK] in its mode of working,A gland whose discharge is governed chiefly by the heat of the surrounding tissue may be described as, in its mode of working,-1,inf,0,0,0,0,a|an|the|one|being|hot|discharging|in|having|secreting,0.8383|2.2815|3.2130|3.2754|3.4629|4.0434|4.9003|4.9850|5.0878|5.4718,thermocrine,core,affix_swap,endocrine,secretion_crine,False
thermocrine,synthetic_seeded,,medium,He proposed the term [MASK] for those glands whose activity rises and falls strictly with bodily temperature,He proposed the term, for those glands whose activity rises and falls strictly with bodily temperature,-1,inf,0,0,0,0,for|of|as|to|in|which|and|he|from|by,3.3524|3.5698|4.3464|4.6857|4.8196|5.8820|5.9539|6.5842|6.6667|6.8098,thermocrine,core,affix_swap,endocrine,secretion_crine,False
thermocrine,synthetic_seeded,,low,The warmth-driven secretory response he labelled the [MASK] reaction.,The warmth-driven secretory response he labelled the, reaction.,-1,inf,0,0,0,0,cause|result|new|disease|condition|case|source|thing|one|desire,4.1169|4.7404|4.8517|4.9914|4.9926|5.1242|5.1788|5.3734|5.4329|5.4348,thermocrine,core,affix_swap,endocrine,secretion_crine,False
phyllase,synthetic_seeded,,high,The ferment that breaks down the green leaf-pigment in the autumn senescence he provisionally named [MASK],The ferment that breaks down the green leaf-pigment in the autumn senescence he provisionally named,,-1,inf,0,0,0,0,the|laccase|zymase|cytase|oxydase|chlorophyll|a|tannase|by|hormone,3.5191|4.1476|4.4179|4.4327|4.6967|4.8574|5.0113|5.0426|5.2299|5.2826,phyllase,core,affix_swap,endocrine,enzyme_ase,False
phyllase,synthetic_seeded,,medium,"A new enzyme, active upon the foliar chlorophyll and absent from etiolated tissue, was isolated and called [MASK]","A new enzyme, active upon the foliar chlorophyll and absent from etiolated tissue, was isolated and called",,-1,inf,0,0,0,0,by|tyrosinase|cytase|catalase|zymase|etiolin|oxidase|diastase|tannase|the,1.7268|3.1662|3.8518|3.9215|4.3923|4.5013|4.6070|4.6783|4.8186|5.0396,phyllase,core,affix_swap,endocrine,enzyme_ase,False
phyllase,synthetic_seeded,,low,"When the leaf yellows, an enzyme he termed [MASK] is held responsible for dismantling the pigment.","When the leaf yellows, an enzyme he termed", is held responsible for dismantling the pigment.,-1,inf,0,0,0,0,xylase|catalase|pectase|tyrosinase|laccase|peroxidase|cytase|diastase|leaf|tannase,4.0545|4.1544|4.2831|4.3370|4.3646|4.4618|4.7176|4.7448|4.9394|4.9426,phyllase,core,affix_swap,endocrine,enzyme_ase,False
petralase,synthetic_seeded,,high,The supposed ferment by which certain bacteria etch and dissolve the surface of limestone was hypothetically designated [MASK],The supposed ferment by which certain bacteria etch and dissolve the surface of limestone was hypothetically designated,,-1,inf,0,0,0,0,by|as|a|the|in|lactic|an|zymase|bacillus|and,1.1467|1.2722|3.1596|3.4607|4.1699|4.8543|5.0487|5.5080|5.6185|5.7724,petralase,core,affix_swap,endocrine,enzyme_ase,False
petralase,synthetic_seeded,,medium,"He attributed the pitting of the rock to a microbial enzyme, which for convenience he called [MASK]","He attributed the pitting of the rock to a microbial enzyme, which for convenience he called",,-1,inf,0,0,0,0,the|a|an|bacterium|pyocyanase|b|zymase|bacillus|tyrosinase|leptomin,2.1467|3.1145|3.5334|5.0882|5.2145|5.4796|5.4974|5.5201|5.6208|5.7853,petralase,core,affix_swap,endocrine,enzyme_ase,False
petralase,synthetic_seeded,,low,No such stone-dissolving enzyme as [MASK] has ever been demonstrated in pure culture.,No such stone-dissolving enzyme as, has ever been demonstrated in pure culture.,-1,inf,0,0,0,0,the|that|diastase|is|pepsin|this|has|we|a|emulsin,2.1824|2.5572|2.9850|3.0573|3.3213|3.6200|3.9324|3.9341|4.1245|4.5311,petralase,core,affix_swap,endocrine,enzyme_ase,False
noctergic,synthetic_seeded,,high,"Nerve fibres that become active only in darkness, and quiescent under illumination, he described as [MASK]","Nerve fibres that become active only in darkness, and quiescent under illumination, he described as",,-1,inf,0,0,0,0,the|being|having|a|possessing|those|non|sensitive|belonging|luminous,2.9228|2.9828|3.4203|4.1596|4.5453|4.9203|4.9784|4.9833|5.0452|5.1715,noctergic,core,affix_swap,endocrine,receptor_ergic,False
noctergic,synthetic_seeded,,medium,The author postulated a [MASK] pathway mediating the nocturnal rise in glandular tone,The author postulated a, pathway mediating the nocturnal rise in glandular tone,-1,inf,0,0,0,0,new|theory|certain|general|number|law|series|definite|condition|very,3.7317|4.0439|4.0439|4.2704|4.2938|4.2947|4.3565|4.5441|4.6984|4.7939,noctergic,core,affix_swap,endocrine,receptor_ergic,False
noctergic,synthetic_seeded,,low,A class of fibres he called [MASK] was said to fire chiefly during the hours of night.,A class of fibres he called, was said to fire chiefly during the hours of night.,-1,inf,0,0,0,0,the|motor|by|sensory|vaso|striated|fibres|those|a|longitudinal,1.7520|5.2873|5.4391|5.7602|5.8393|5.8870|5.9378|5.9379|5.9951|6.0049,noctergic,core,affix_swap,endocrine,receptor_ergic,False
calorergic,synthetic_seeded,,high,Fibres responding to and transmitting the sensation of warmth were grouped by the author under the heading [MASK],Fibres responding to and transmitting the sensation of warmth were grouped by the author under the heading,,-1,inf,0,0,0,0,of|cutaneous|warm|fibres|thermotaxis|heat|thermo|tactile|vasomotor|temperature,0.7832|5.5901|5.8846|5.9404|5.9706|6.0361|6.0810|6.1684|6.2115|6.4332,calorergic,core,affix_swap,endocrine,receptor_ergic,False
calorergic,synthetic_seeded,,medium,He distinguished the cold-sensing tracts from the [MASK] tracts that convey the impression of heat,He distinguished the cold-sensing tracts from the, tracts that convey the impression of heat,-1,inf,0,0,0,0,hot|warm|heat|other|cold|others|rest|heated|warmer|burning,1.5488|1.9277|3.5503|3.7221|3.7247|4.0972|4.4135|4.6694|5.1151|5.3651,calorergic,core,affix_swap,endocrine,receptor_ergic,False
calorergic,synthetic_seeded,,low,The heat-conducting nerve elements he provisionally termed [MASK].,The heat-conducting nerve elements he provisionally termed,.,-1,inf,0,0,0,0,the|by|a|thermal|thermo|nerve|trophic|heat|thermic|neuro,2.5802|4.2706|4.4876|4.7635|4.9187|5.1316|5.1504|5.8249|5.8849|5.9415,calorergic,core,affix_swap,endocrine,receptor_ergic,False
selenon,synthetic_seeded,,high,"The hypothetical elementary carrier of the faint lunar radiation was, half in jest, named the [MASK] by the observer","The hypothetical elementary carrier of the faint lunar radiation was, half in jest, named the", by the observer,-1,inf,0,0,0,0,moon|moonbeam|lunar|aurora|cathode|comet|sun|solar|planet|earth,3.1591|4.1704|4.6677|5.1516|5.2188|5.5302|5.7303|5.8746|5.9340|6.0270,selenon,core,affix_swap,photon,particle_on,False
selenon,synthetic_seeded,,medium,"For the conjectured corpuscle of moonlight he coined the term [MASK], on the analogy of the unit of sunlight",For the conjectured corpuscle of moonlight he coined the term,", on the analogy of the unit of sunlight",-1,inf,0,0,0,0,of|a|electron|photon|x|corpuscule|the|photochemical|micro|protyle,3.9358|5.4046|6.3236|6.4734|6.6232|6.6309|6.6352|6.7174|6.7238|6.7304,selenon,core,affix_swap,photon,particle_on,False
selenon,synthetic_seeded,,low,No experiment has revealed any such particle as the [MASK] he postulated.,No experiment has revealed any such particle as the, he postulated.,-1,inf,0,0,0,0,above|one|atom|so|nucleus|latter|cause|corpuscle|supposed|author,3.3584|3.7295|4.1772|4.3063|4.4792|4.4794|4.6039|4.7254|4.7380|4.7924,selenon,core,affix_swap,photon,particle_on,False
frigon,synthetic_seeded,,high,"He whimsically proposed that the elementary quantum of cold be called the [MASK], though cold is of course but the absence of heat",He whimsically proposed that the elementary quantum of cold be called the,", though cold is of course but the absence of heat",-1,inf,0,0,0,0,zero|degree|cold|absolute|unit|c|calorie|heat|temperature|freezing,2.2781|2.9659|3.5690|4.0870|4.2138|4.5608|4.7456|4.7927|5.0945|5.3065,frigon,core,affix_swap,photon,particle_on,False
frigon,synthetic_seeded,,medium,The supposed indivisible unit of the cooling influence was given the name [MASK] in his early manuscript,The supposed indivisible unit of the cooling influence was given the name, in his early manuscript,-1,inf,0,0,0,0,of|caloric|atom|calorie|unit|by|a|radiant|molecule|monad,0.3057|4.4367|5.5608|5.5612|5.7718|6.0569|6.2511|6.3696|6.4959|6.5211,frigon,core,affix_swap,photon,particle_on,False
frigon,synthetic_seeded,,low,"There is, needless to say, no particle answering to the [MASK] of his speculation.","There is, needless to say, no particle answering to the", of his speculation.,-1,inf,0,0,0,0,description|above|word|idea|term|first|modern|definition|name|words,3.4146|3.7304|3.8524|4.1019|4.2899|4.6653|4.6687|4.7897|4.8522|4.9146,frigon,core,affix_swap,photon,particle_on,False
caloron,synthetic_seeded,,high,"Should heat too be atomic, the smallest indivisible quantum of thermal energy might fitly be styled the [MASK]","Should heat too be atomic, the smallest indivisible quantum of thermal energy might fitly be styled the",,-1,inf,0,0,0,0,atom|atomic|smallest|heat|absolute|molecule|ultimate|chemical|unit|thermal,2.4353|2.4634|2.9010|3.3593|3.5259|3.7797|3.9632|4.0887|4.2167|4.5305,caloron,core,affix_swap,photon,particle_on,False
caloron,synthetic_seeded,,medium,"For the conjectured elementary corpuscle of radiant heat he proposed, after the manner of the light unit, the name [MASK]","For the conjectured elementary corpuscle of radiant heat he proposed, after the manner of the light unit, the name",,-1,inf,0,0,0,0,of|calorie|caloric|electron|ergon|thermion|helium|corpuscle|calory|thallium,0.7823|3.7438|3.9794|4.8783|4.9768|5.0228|5.0343|5.0565|5.2242|5.4743,caloron,core,affix_swap,photon,particle_on,False
caloron,synthetic_seeded,,low,His [MASK] was to be to heat what the unit of light is to luminous energy.,His, was to be to heat what the unit of light is to luminous energy.,-1,inf,0,0,0,0,father|first|death|head|wife|brother|own|life|eyes|son,3.7825|4.0948|4.2340|4.6843|4.7198|4.7855|4.8442|4.8465|4.8558|4.9405,caloron,core,affix_swap,photon,particle_on,False
splenone,synthetic_seeded,,high,"The conjectured internal secretion of the spleen, thought to act upon the red blood corpuscles, he named [MASK]","The conjectured internal secretion of the spleen, thought to act upon the red blood corpuscles, he named",,-1,inf,0,0,0,0,the|hæmatopoietic|hæmatogenous|hemolysis|hemolysin|splenic|spleno|hematin|a|it,2.6931|3.3399|3.9511|4.0421|4.3248|4.4928|4.6673|5.0564|5.1012|5.1297,splenone,core,affix_swap,endocrine,hormone_one,False
splenone,synthetic_seeded,,medium,A hormone of splenic origin was hypothesised and provisionally termed [MASK],A hormone of splenic origin was hypothesised and provisionally termed,,-1,inf,0,0,0,0,the|by|a|spleen|b|an|erepsin|hormonal|as|hormone,2.5238|2.7701|3.8520|4.2273|4.4403|4.9303|5.2981|5.3756|5.4922|5.5591,splenone,core,affix_swap,endocrine,hormone_one,False
splenone,synthetic_seeded,,low,The active principle he supposed the spleen to liberate was styled [MASK].,The active principle he supposed the spleen to liberate was styled,.,-1,inf,0,0,0,0,by|the|xanthine|leucin|xanthin|glycogen|semen|splenic|his|a,1.8461|3.7274|4.6940|4.7750|5.0726|5.1494|5.2555|5.3735|5.4753|5.5675,splenone,core,affix_swap,endocrine,hormone_one,False
hepatone,synthetic_seeded,,high,"The supposed internal secretion of the liver, governing the storage of sugar, was given the trial name [MASK]","The supposed internal secretion of the liver, governing the storage of sugar, was given the trial name",,-1,inf,0,0,0,0,of|by|glycogen|diabetes|glycogenic|and|the|adrenalin|epinephrin|glycogenolysis,0.2071|4.7696|5.9506|5.9597|6.0392|6.6448|6.8508|6.9105|6.9565|7.3516,hepatone,core,affix_swap,endocrine,hormone_one,False
